,geography,geography code,Highest level of qualification: Total: All usual residents aged 16 years and over,Mean Qualification Years
127,Westminster,E09000033,168053,12.758379796849804
128,Cambridgeshire,E10000003,518010,11.622835466496786
129,Cumbria,E10000006,377361,10.706882799229385
130,Derbyshire,E10000007,600897,10.614017044518445
131,Devon,E10000008,623428,11.226197732536876
132,East Sussex,E10000011,416897,10.8870896168598
133,Essex,E10000012,1120946,10.507385725985015
134,Gloucestershire,E10000013,489541,11.392865970368161
135,Hampshire,E10000014,1055613,11.387337025974482
136,Hertfordshire,E10000015,891204,11.625531303719463
137,Kent,E10000016,1168247,10.770453508547423
138,Lancashire,E10000017,922071,10.737609142896805
139,Leicestershire,E10000018,535957,11.047587772899691
140,Lincolnshire,E10000019,577862,10.208409620289965
141,Norfolk,E10000020,695528,10.256974557458506
142,North Yorkshire,E10000023,469769,11.233927738952548
143,Nottinghamshire,E10000024,619541,10.58317367212178
144,Oxfordshire,E10000025,553243,11.935299678441481
145,Somerset,E10000027,430933,10.888056844103376
146,Staffordshire,E10000028,662837,10.540273098816149
147,Suffolk,E10000029,570843,10.410428086181314
148,Surrey,E10000030,907179,12.018302892813876
149,Warwickshire,E10000031,451278,11.157435106519706
150,West Sussex,E10000032,667068,11.161758621309971
151,Worcestershire,E10000034,457098,10.864186673317318
152,Isle of Anglesey,W06000001,51928,10.8899822831613
153,Gwynedd,W06000002,89837,11.256542404577178
154,Conwy,W06000003,87385,10.791279967957887
155,Denbighshire,W06000004,71746,10.53074735873777
156,Flintshire,W06000005,115462,10.669033967885538
157,Wrexham,W06000006,100290,10.312463854821019
158,Ceredigion,W06000008,56649,11.53713216473371
159,Pembrokeshire,W06000009,93602,10.716170594645414
160,Carmarthenshire,W06000010,141785,10.556892478047748
161,Swansea,W06000011,181108,10.836500872407624
162,Neath Port Talbot,W06000012,106461,9.84142549853937
163,Bridgend,W06000013,109663,10.2856934426379
164,Vale of Glamorgan,W06000014,98998,11.43372593385725
165,Cardiff,W06000015,277141,11.553909381866992
166,Rhondda Cynon Taff,W06000016,178705,9.823037967600236
167,Caerphilly,W06000018,131752,9.743958345983362
168,Blaenau Gwent,W06000019,50449,9.05026858807905
169,Torfaen,W06000020,68650,10.060072833211944
170,Monmouthshire,W06000021,72348,11.503966937579477
171,Newport,W06000022,117141,10.328544233018329
172,Powys,W06000023,102731,10.740341279652686
173,Merthyr Tydfil,W06000024,43662,9.368466859053639
